Cannot add child table {0} to deletion list. Child tables are automatically deleted with their parent DocTypes.,لا يمكن إضافة الجدول الفرعي {0} إلى قائمة الحذف. يتم حذف الجداول الفرعية تلقائياً مع أنواع المستندات الأصلية.,
"Cannot cancel Stock Reservation Entry {0}, as it has used in the work order {1}. Please cancel the work order first or unreserved the stock",لا يمكن إلغاء قيد حجز المخزون {0} لأنه مستخدم في أمر العمل {1}. يرجى إلغاء أمر العمل أولاً أو إلغاء حجز المخزون,
Cannot cancel this Manufacturing Stock Entry as quantity of Finished Good produced cannot be less than quantity delivered in the linked Subcontracting Inward Order.,لا يمكن إلغاء قيد مخزون التصنيع هذا لأن كمية المنتج النهائي المنتجة لا يمكن أن تكون أقل من الكمية المسلمة في أمر التعاقد الخارجي الوارد المرتبط.,
Cannot delete virtual DocType: {0}. Virtual DocTypes do not have database tables.,لا يمكن حذف نوع المستند الافتراضي: {0}. أنواع المستندات الافتراضية ليس لها جداول في قاعدة البيانات.,
"Cannot disable perpetual inventory, as there are existing Stock Ledger Entries for the company {0}. Please cancel the stock transactions first and try again.",لا يمكن تعطيل المخزون المستمر، لوجود قيود دفتر أستاذ المخزون للشركة {0}. يرجى إلغاء معاملات المخزون أولاً ثم المحاولة مرة أخرى.,
"Cannot enable Item-wise Inventory Account, as there are existing Stock Ledger Entries for the company {0} with Warehouse-wise Inventory Account. Please cancel the stock transactions first and try again.",لا يمكن تفعيل حساب المخزون حسب الصنف، لوجود قيود دفتر أستاذ المخزون للشركة {0} بحساب المخزون حسب المستودع. يرجى إلغاء معاملات المخزون أولاً ثم المحاولة مرة أخرى.,
Cannot merge {0} '{1}' into '{2}' as both have existing accounting entries in different currencies for company '{3}'.,لا يمكن دمج {0} '{1}' في '{2}' لأن لكليهما قيوداً محاسبية قائمة بعملات مختلفة للشركة '{3}'.,
Cashier is currently assigned to another POS.,أمين الصندوق معين حالياً لنقطة بيع أخرى.,
Check row {0} for account {1}: Party is only allowed if Party Type is set,تحقق من السطر {0} للحساب {1}: الطرف مسموح به فقط إذا تم تحديد نوع الطرف,
Child tables that will also be deleted,الجداول الفرعية التي سيتم حذفها أيضاً,
Clearance date changed from {0} to {1} via Bank Clearance Tool,تم تغيير تاريخ المقاصة من {0} إلى {1} عبر أداة المقاصة البنكية,
Click this button if you encounter a negative stock error for a serial or batch item. The system will fetch the available serials or batches automatically.,انقر فوق هذا الزر إذا واجهت خطأ في المخزون السالب لصنف تسلسلي أو دفعة. سيقوم النظام بجلب الأرقام التسلسلية أو الدفعات المتاحة تلقائياً.,
"Code to reference this line in formulas (e.g., REV100, EXP200, ASSET100)",الرمز المرجعي لهذا السطر في الصيغ (مثل: REV100، EXP200، ASSET100),
"Color to highlight values (e.g., red for exceptions)",لون لتمييز القيم (مثل الأحمر للاستثناءات),
Company Address is missing. You don't have permission to update it. Please contact your System Manager.,عنوان الشركة مفقود. ليس لديك صلاحية لتحديثه. يرجى الاتصال بمدير النظام.,
Company link field name used for filtering (optional - leave empty to delete all records),اسم حقل ربط الشركة المستخدم للتصفية (اختياري - اتركه فارغاً لحذف كافة السجلات),
Confirm before resetting posting date,التأكيد قبل إعادة ضبط تاريخ الترحيل,
Consolidated Trial Balance can be generated for Companies having same root Company.,يمكن إنشاء ميزان مراجعة مجمع للشركات التي تتبع نفس الشركة الأم.,
Consolidated Trial balance could not be generated as Exchange Rate from {0} to {1} is not available for {2}.,تعذر إنشاء ميزان مراجعة مجمع لعدم توفر سعر الصرف من {0} إلى {1} لـ {2}.,
Currency filters are currently unsupported in Custom Financial Report.,عوامل تصفية العملة غير مدعومة حالياً في التقارير المالية المخصصة.,
Daily Yield (%),العائد اليومي (%),
Debt Equity Ratio,نسبة الدين إلى الملكية,
Debtor Turnover Ratio,نسبة دوران المدينين,
Deletion process restarted,تمت إعادة تشغيل عملية الحذف,
Deletion will start automatically after submission.,سيبدأ الحذف تلقائياً بعد الاعتماد.,
Demand vs Supply,الطلب مقابل العرض,
"Descriptive name for your template (e.g., 'Standard P&L', 'Detailed Balance Sheet')",اسم وصفي للقالب (مثل 'قائمة الأرباح والخسائر القياسية'، 'الميزانية العمومية التفصيلية'),
Direct return is not allowed for Timesheet.,المرتجع المباشر غير مسموح به لورقة الوقت.,
Discount Percentage can be applied either against a Price List or for all Price List.,يمكن تطبيق نسبة الخصم إما مقابل قائمة أسعار محددة أو لكافة قوائم الأسعار.,
DocType {0} with company field '{1}' is already in the list,نوع المستند {0} مع حقل الشركة '{1}' موجود بالفعل في القائمة,
DocTypes To Delete,أنواع المستندات المراد حذفها,
DocTypes that will NOT be deleted.,أنواع المستندات التي لن يتم حذفها.,
DocTypes with a company field:,أنواع المستندات التي تحتوي على حقل شركة:,
DocTypes without a company field:,أنواع المستندات التي لا تحتوي على حقل شركة:,
Dr/Cr,مدين/دائن,
Drops existing SQL Procedures and Function setup by Accounts Receivable report,حذف إجراءات ووظائف SQL الحالية المعدة بواسطة تقرير حسابات المدينين,
Duplicate Operating Component {0} found in Operating Components,تم العثور على مكون تشغيل مكرر {0} في مكونات التشغيل,
Empty To Delete List,قائمة الحذف فارغة,
"Enable Urchin Tracking Module parameters in Quotation, Sales Order, Sales Invoice, POS Invoice, Lead,  and Delivery Note.",تفعيل معلمات وحدة تتبع Urchin في عرض السعر، أمر المبيعات، فاتورة المبيعات، فاتورة نقطة البيع، العميل المحتمل، وإشعار التسليم.,
"Enable cost center, projects and other custom accounting dimensions",تفعيل مراكز التكلفة والمشاريع والأبعاد المحاسبية المخصصة الأخرى,
Error getting details for {0}: {1},خطأ في الحصول على تفاصيل {0}: {1},
"Even if there are multiple Pricing Rules with highest priority, then following internal priorities are applied:",حتى لو وجد أكثر من قاعدة تسعير بنفس الأولوية القصوى، يتم تطبيق الأولويات الداخلية التالية:,
Expires in a week or less,تنتهي صلاحيته خلال أسبوع أو أقل,
Expires today or already expired,تنتهي صلاحيته اليوم أو منتهي الصلاحية بالفعل,
FG / Semi FG Item,منتج نهائي / نصف نهائي,
Failed to parse MT940 format. Error: {0},فشل تحليل تنسيق MT940. الخطأ: {0},
Failed to send email for campaign {0} to {1},فشل إرسال البريد الإلكتروني للحملة {0} إلى {1},
Field '{0}' is not a valid Company link field for DocType {1},الحقل '{0}' ليس حقل ربط شركة صالح لنوع المستند {1},
File not found on server,الملف غير موجود على الخادم,
"For operation {0} at row {1}, please add raw materials or set a BOM against it.",للعملية {0} في السطر {1}، يرجى إضافة مواد خام أو تحديد قائمة مواد لها.,
"For project {0}, update your status",للمشروع {0}، قم بتحديث حالتك,
"For projected and forecast quantities, the system will consider all child warehouses under the selected parent warehouse.",بالنسبة للكميات المتوقعة والمقدرة، سيأخذ النظام في الاعتبار كافة المستودعات الفرعية تحت المستودع الرئيسي المحدد.,
Foreign Currency Translation Reserve,احتياطي ترجمة العملات الأجنبية,
Formula or Account Filter,صيغة أو تصفية حسابات,
Frappe School,مدرسة فرابي,
GENERAL LEDGER,دفتر الأستاذ العام,
Generate To Delete list first,قم بإنشاء قائمة الحذف أولاً,
Generating Master Production Schedule...,جاري إنشاء جدول الإنتاج الرئيسي...,
Hidden Line (Internal Use Only),سطر مخفي (للاستخدام الداخلي فقط),
How this line gets its data,كيف يحصل هذا السطر على بياناته,
How to format and present values in the financial report (only if different from column fieldtype),كيفية تنسيق وعرض القيم في التقرير المالي (فقط إذا كانت مختلفة عن نوع حقل العمود),
"If enabled, system will allow user to deliver the entire quantity of the finished goods produced against the Subcontracting Inward Order. If disabled, system will allow delivery of only the ordered quantity.",في حالة التفعيل، سيسمح النظام للمستخدم بتسليم كامل كمية المنتجات النهائية المنتجة مقابل أمر التعاقد الخارجي الوارد. في حالة التعطيل، سيسمح النظام بتسليم الكمية المطلوبة فقط.,
"If enabled, system will set incoming rate as zero for stand-alone credit notes with expired batch item.",في حالة التفعيل، سيقوم النظام بتعيين معدل الوارد إلى صفر للإشعارات الدائنة المستقلة التي تحتوي على صنف دفعة منتهي الصلاحية.,
"If enabled, the Scrap Item generated against a Finished Good will also be added in the Stock Entry when delivering that Finished Good.",في حالة التفعيل، سيتم أيضاً إضافة صنف الخردة الناتج مقابل منتج نهائي في قيد المخزون عند تسليم ذلك المنتج النهائي.,
"If enabled, the source and target warehouse in the Material Transfer Stock Entry must be different else an error will be thrown. If inventory dimensions are present, same source and target warehouse can be allowed but atleast any one of the inventory dimension fields must be different.",في حالة التفعيل، يجب أن يكون مستودع المصدر والهدف في قيد تحويل المواد مختلفين وإلا سيظهر خطأ. في حال وجود أبعاد المخزون، يمكن السماح بنفس المستودع للمصدر والهدف بشرط أن يختلف حقل واحد على الأقل من أبعاد المخزون.,
"If enabled, the system will allow negative stock entries for the batch, but this could calculate the valuation rate incorrectly, so avoid using this option.",في حالة التفعيل، سيسمح النظام بقيود مخزون سالبة للدفعة، ولكن هذا قد يؤدي إلى حساب معدل التقييم بشكل غير صحيح، لذا يفضل تجنب هذا الخيار.,
"If enabled, the system will allow users to edit the raw materials and their quantities in the Work Order. The system will not reset the quantities as per the BOM, if the user has changed them.",في حالة التفعيل، سيسمح النظام للمستخدمين بتعديل المواد الخام وكمياتها في أمر العمل. لن يقوم النظام بإعادة ضبط الكميات حسب قائمة المواد إذا قام المستخدم بتغييرها.,
"If enabled, the system will use the inventory account set in the Item Master or Item Group or Brand. Otherwise, it will use the inventory account set in the Warehouse.",في حالة التفعيل، سيستخدم النظام حساب المخزون المحدد في ملف الصنف أو مجموعة الأصناف أو العلامة التجارية. بخلاف ذلك، سيستخدم حساب المخزون المحدد في المستودع.,
"If enabled, this row's values will be displayed on financial charts",في حالة التفعيل، سيتم عرض قيم هذا السطر في الرسوم البيانية المالية,
"If multiple Pricing Rules continue to prevail, users are asked to set Priority manually to resolve conflict.",إذا استمر وجود عدة قواعد تسعير منطبقة، سيُطلب من المستخدمين تحديد الأولوية يدوياً لحل التعارض.,
"If no taxes are set, and Taxes and Charges Template is selected, the system will automatically apply the taxes from the chosen template.",إذا لم يتم تحديد ضرائب وتم اختيار قالب الضرائب والرسوم، سيقوم النظام تلقائياً بتطبيق الضرائب من القالب المختار.,
"If selected Pricing Rule is made for 'Rate', it will overwrite Price List. Pricing Rule rate is the final rate, so no further discount should be applied. Hence, in transactions like Sales Order, Purchase Order etc, it will be fetched in 'Rate' field, rather than 'Price List Rate' field.",إذا تم تحديد قاعدة التسعير لـ 'السعر'، فستتجاوز قائمة الأسعار. سعر قاعدة التسعير هو السعر النهائي، لذا لا ينبغي تطبيق أي خصم إضافي. وبالتالي في معاملات مثل أمر المبيعات وأمر الشراء وغيرها، سيتم جلبها في حقل 'السعر' بدلاً من حقل 'سعر قائمة الأسعار'.,
"If set, the system does not use the user's Email or the standard outgoing Email account for sending request for quotations.",في حالة التحديد، لن يستخدم النظام بريد المستخدم الإلكتروني أو حساب البريد الصادر القياسي لإرسال طلبات عروض الأسعار.,
"If the reorder check is set at the Group warehouse level, the available quantity becomes the sum of the projected quantities of all its child warehouses.",إذا تم ضبط فحص إعادة الطلب على مستوى مستودع المجموعة، فإن الكمية المتاحة تصبح مجموع الكميات المتوقعة لكافة مستودعاتها الفرعية.,
"If two or more Pricing Rules are found based on the above conditions, Priority is applied. Priority is a number between 0 to 20 while default value is zero (blank). Higher number means it will take precedence if there are multiple Pricing Rules with same conditions.",إذا تم العثور على قاعدتي تسعير أو أكثر بناءً على الشروط المذكورة أعلاه، يتم تطبيق الأولوية. الأولوية رقم بين 0 و 20 والقيمة الافتراضية هي صفر. الرقم الأعلى يعني الأسبقية عند وجود عدة قواعد بنفس الشروط.,
"If you want to run operations in parallel, keep the same sequence ID for them.",إذا كنت تريد تشغيل العمليات بالتوازي، فاحتفظ بنفس معرف التسلسل لها.,
"Image in the description has been removed. To disable this behavior, uncheck ""{0}"" in {1}.","تمت إزالة الصورة الموجودة في الوصف. لتعطيل هذا السلوك، قم بإلغاء تحديد ""{0}"" في {1}.",
Include Returned Invoices (Stand-alone),تضمين فواتير المرتجعات (المستقلة),
Included fee is bigger than the withdrawal itself.,الرسوم المتضمنة أكبر من مبلغ السحب نفسه.,
"Indentation level: 0 = Main heading, 1 = Sub-category, 2 = Individual accounts, etc.",مستوى الإزاحة: 0 = عنوان رئيسي، 1 = فئة فرعية، 2 = حسابات فردية، إلخ.,
Invalid CSV format. Expected column: doctype_name,تنسيق CSV غير صالح. العمود المتوقع: doctype_name,
Invalid filter formula. Please check the syntax.,صيغة تصفية غير صالحة. يرجى التحقق من القواعد.,
Invalid parameter. 'dn' should be of type str,معلمة غير صالحة. يجب أن يكون 'dn' من نوع نص (str),
Invoice Type Created via POS Screen,نوع الفاتورة المنشأة عبر شاشة نقطة البيع,
Is Phantom BOM,قائمة مواد وهمية (Phantom BOM),
Italic text for subtotals or notes,نص مائل للمجاميع الفرعية أو الملاحظات,
Item Code > Item Group > Brand,كود الصنف > مجموعة الأصناف > العلامة التجارية,
Item Wise Tax Details do not match with Taxes and Charges at the following rows:,تفاصيل الضريبة حسب الصنف لا تتطابق مع الضرائب والرسوم في الأسطر التالية:,
Item {0} added multiple times under the same parent item {1} at rows {2} and {3},تم إضافة الصنف {0} عدة مرات تحت نفس الصنف الأب {1} في الأسطر {2} و {3},
Item/Item Code required to get Item Tax Template.,الصنف/كود الصنف مطلوب للحصول على قالب ضريبة الصنف.,
Liquidity Ratios,نسب السيولة,
Long-term Provisions,مخصصات طويلة الأجل,
MT940 file detected. Please enable 'Import MT940 Format' to proceed.,تم اكتشاف ملف MT940. يرجى تفعيل 'استيراد تنسيق MT940' للمتابعة.,
Manage sales partner's and sales team's commissions,إدارة عمولات شركاء المبيعات وفريق المبيعات,
"Min Value: {0}, Max Value: {1}, in Increments of: {2}",الحد الأدنى: {0}، الحد الأقصى: {1}، بزيادات قدرها: {2},
Missing required filter: {0},عامل تصفية مطلوب مفقود: {0},
Module (for Export),الوحدة البرمجية (للتصدير),
Naming series '{0}' for DocType '{1}' does not contain standard '.' or '{{' separator. Using fallback extraction.,سلسلة التسمية '{0}' لنوع المستند '{1}' لا تحتوي على الفاصل القياسي '.' أو '{{'. سيتم استخدام الاستخراج الاحتياطي.,
New Journal Entry will be posted for the difference amount. The Posting Date can be modified.,سيتم ترحيل قيد يومية جديد بمبلغ الفرق. يمكن تعديل تاريخ الترحيل.,
New Lead (Last 1 Month),عميل محتمل جديد (آخر شهر),
No <strong>Account Data</strong> row found,لم يتم العثور على سطر <strong>بيانات الحساب</strong>,
No DocTypes in To Delete list. Please generate or import the list before submitting.,لا توجد أنواع مستندات في قائمة الحذف. يرجى إنشاء أو استيراد القائمة قبل الاعتماد.,
No Tax withholding account set for Company {0} in Tax Withholding Category {1}.,لم يتم تعيين حساب ضريبة مستقطعة للشركة {0} في فئة الضريبة المستقطعة {1}.,
No difference found for stock account {0},لم يتم العثور على فرق لحساب المخزون {0},
No of Parallel Reposting (Per Item),عدد عمليات إعادة الترحيل المتوازية (لكل صنف),
No rows with zero document count found,لم يتم العثور على أسطر بعدد مستندات صفر,
Not able to find the earliest Fiscal Year for the given company.,تعذر العثور على أقدم سنة مالية للشركة المحددة.,
Number of Weeks / Months,عدد الأسابيع / الشهور,
"On save, the Excluded Fee will be converted to an Included Fee.",عند الحفظ، سيتم تحويل الرسوم المستبعدة إلى رسوم متضمنة.,
Only CSV files are allowed,يسمح بملفات CSV فقط,
Only one of Deposit or Withdrawal should be non-zero when applying an Excluded Fee.,يجب أن يكون أحد حقلي الإيداع أو السحب فقط غير صفري عند تطبيق رسوم مستبعدة.,
Only one operation can have 'Is Final Finished Good' checked when 'Track Semi Finished Goods' is enabled.,يمكن تحديد عملية واحدة فقط كـ 'منتج نهائي أخير' عند تفعيل 'تتبع المنتجات نصف المصنعة'.,
"Opening Balance = Start of period, Closing Balance = End of period, Period Movement = Net change during period",رصيد أول المدة = بداية الفترة، رصيد آخر المدة = نهاية الفترة، حركة الفترة = صافي التغير خلال الفترة,
Optional. Used with Financial Report Template,اختياري. يستخدم مع قالب التقرير المالي,
Over Withheld,مستقطع بالزيادة,
POS Opening Entry - {0} is outdated. Please close the POS and create a new POS Opening Entry.,قيد افتتاح نقطة البيع - {0} قديم. يرجى إغلاق نقطة البيع وإنشاء قيد افتتاح جديد.,
POS Opening Entry cannot be cancelled as unconsolidated Invoices exists.,لا يمكن إلغاء قيد افتتاح نقطة البيع لوجود فواتير غير مجمعة.,
POS Profile - {0} has multiple open POS Opening Entries. Please close or cancel the existing entries before proceeding.,ملف تعريف نقطة البيع - {0} لديه عدة قيود افتتاح مفتوحة. يرجى إغلاق أو إلغاء القيود الموجودة قبل المتابعة.,
POS Profile - {0} is currently open. Please close the POS or cancel the existing POS Opening Entry before cancelling this POS Closing Entry.,ملف تعريف نقطة البيع - {0} مفتوح حالياً. يرجى إغلاق نقطة البيع أو إلغاء قيد الافتتاح الحالي قبل إلغاء قيد الإغلاق هذا.,
POS Profile {0} cannot be disabled as there are ongoing POS sessions.,لا يمكن تعطيل ملف تعريف نقطة البيع {0} لوجود جلسات قائمة.,
Parsed file is not in valid MT940 format or contains no transactions.,الملف الذي تم تحليله ليس بتنسيق MT940 صالح أو لا يحتوي على معاملات.,
Payment Requests made from Sales / Purchase Invoice will be put in Draft explicitly,طلبات الدفع المنشأة من فواتير المبيعات / الشراء ستوضع كمسودة بشكل صريح,
"Per Day
Shift Time (In Hours) * No of Workstations * No of Shift","يومياً
وقت الوردية (بالساعات) * عدد محطات العمل * عدد الورديات",
Period Movement (Debits - Credits),حركة الفترة (مدين - دائن),
Periodic Accounting Entry is not allowed for company {0} with perpetual inventory enabled,القيد المحاسبي الدوري غير مسموح به للشركة {0} مع تفعيل المخزون المستمر,
Please save the Sales Order before adding a delivery schedule.,يرجى حفظ أمر المبيعات قبل إضافة جدول تسليم.,
Please set Customer Address to determine if the transaction is an export.,يرجى تحديد عنوان العميل لتحديد ما إذا كانت المعاملة تصديراً.,
Please set actual demand or sales forecast to generate Material Requirements Planning Report.,يرجى تحديد الطلب الفعلي أو توقعات المبيعات لإنشاء تقرير تخطيط متطلبات المواد.,
Please uncheck 'Show in Bucket View' to create Orders,يرجى إلغاء تحديد 'عرض في منظور تجميعي' لإنشاء الأوامر,
Posting Date will change to today's date as Edit Posting Date and Time is unchecked. Are you sure want to proceed?,سيتغير تاريخ الترحيل إلى تاريخ اليوم لأن خيار تعديل تاريخ ووقت الترحيل غير محدد. هل أنت متأكد من المتابعة؟,
"Pricing Rule is first selected based on 'Apply On' field, which can be Item, Item Group or Brand.",يتم اختيار قاعدة التسعير أولاً بناءً على حقل 'تطبيق على'، والذي يمكن أن يكون صنفاً أو مجموعة أصناف أو علامة تجارية.,
"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.",قاعدة التسعير مصممة لتجاوز قائمة الأسعار أو تحديد نسبة خصم بناءً على معايير محددة.,
Pricing Rules are further filtered based on quantity.,يتم تصفية قواعد التسعير بشكل إضافي بناءً على الكمية.,
Print Format must be an enabled Report Print Format matching the selected Report.,يجب أن يكون تنسيق الطباعة تنسيق تقرير مفعلاً يطابق التقرير المحدد.,
Qty To Manufacture in the job card cannot be greater than Qty To Manufacture in the work order for the operation {0}. <br><br><b>Solution: </b> Either you can reduce the Qty To Manufacture in the job card or set the 'Overproduction Percentage For Work Order' in the {1}.,الكمية المراد تصنيعها في بطاقة العمل لا يمكن أن تكون أكبر من الكمية المراد تصنيعها في أمر العمل للعملية {0}. <br><br><b>الحل: </b> يمكنك إما تقليل الكمية في بطاقة العمل أو ضبط 'نسبة الإنتاج الزائد لأمر العمل' في {1}.,
Raw SQL,SQL خام,
Raw materials consumed qty will be validated based on FG BOM required qty,سيتم التحقق من كمية المواد الخام المستهلكة بناءً على الكمية المطلوبة في قائمة مواد المنتج النهائي,
Remove Zero Counts,إزالة الأعداد الصفرية,
Removed {0} rows with zero document count. Please save to persist changes.,تمت إزالة {0} أسطر بعدد مستندات صفر. يرجى الحفظ لتثبيت التغييرات.,
Return on Equity Ratio,نسبة العائد على الملكية,
Row #1: Sequence ID must be 1 for Operation {0}.,السطر #1: معرف التسلسل يجب أن يكون 1 للعملية {0}.,
Row #{0}: Batch No(s) {1} is not a part of the linked Subcontracting Inward Order. Please select valid Batch No(s).,السطر #{0}: رقم/أرقام الدفعة {1} ليست جزءاً من أمر التعاقد الخارجي الوارد المرتبط. يرجى اختيار أرقام دفعات صالحة.,
Row #{0}: Cannot cancel this Manufacturing Stock Entry as billed quantity of Item {1} cannot be greater than consumed quantity.,السطر #{0}: لا يمكن إلغاء قيد مخزون التصنيع هذا لأن الكمية المفلترة للصنف {1} لا يمكن أن تكون أكبر من الكمية المستهلكة.,
Row #{0}: Cannot cancel this Manufacturing Stock Entry as quantity of Scrap Item {1} produced cannot be less than quantity delivered.,السطر #{0}: لا يمكن إلغاء قيد مخزون التصنيع هذا لأن كمية صنف الخردة {1} المنتجة لا يمكن أن تكون أقل من الكمية المسلمة.,
Row #{0}: Cannot cancel this Stock Entry as returned quantity cannot be greater than delivered quantity for Item {1} in the linked Subcontracting Inward Order,السطر #{0}: لا يمكن إلغاء قيد المخزون هذا لأن الكمية المرتجعة لا يمكن أن تكون أكبر من الكمية المسلمة للصنف {1} في أمر التعاقد من الباطن الوارد المرتبط.,
Row #{0}: Cannot create entry with different taxable AND withholding document links.,السطر #{0}: لا يمكن إنشاء قيد بروابط مستندات ضريبية واستقطاع مختلفة.,
Row #{0}: Customer Provided Item {1} against Subcontracting Inward Order Item {2} ({3}) cannot be added multiple times.,السطر #{0}: الصنف المقدم من العميل {1} مقابل صنف أمر التعاقد من الباطن الوارد {2} ({3}) لا يمكن إضافته عدة مرات.,
Row #{0}: Customer Provided Item {1} cannot be added multiple times in the Subcontracting Inward process.,السطر #{0}: الصنف المقدم من العميل {1} لا يمكن إضافته عدة مرات في عملية التعاقد من الباطن الواردة.,
Row #{0}: Customer Provided Item {1} does not exist in the Required Items table linked to the Subcontracting Inward Order.,السطر #{0}: الصنف المقدم من العميل {1} غير موجود في جدول الأصناف المطلوبة المرتبط بأمر التعاقد من الباطن الوارد.,
Row #{0}: Customer Provided Item {1} exceeds quantity available through Subcontracting Inward Order,السطر #{0}: الصنف المقدم من العميل {1} يتجاوز الكمية المتاحة من خلال أمر التعاقد من الباطن الوارد.,
Row #{0}: Customer Provided Item {1} has insufficient quantity in the Subcontracting Inward Order. Available quantity is {2}.,السطر #{0}: الصنف المقدم من العميل {1} لديه كمية غير كافية في أمر التعاقد من الباطن الوارد. الكمية المتاحة هي {2}.,
Row #{0}: Customer Provided Item {1} is not a part of Subcontracting Inward Order {2},السطر #{0}: الصنف المقدم من العميل {1} ليس جزءاً من أمر التعاقد من الباطن الوارد {2}.,
Row #{0}: Expense account {1} is not valid for Purchase Invoice {2}. Only expense accounts from non-stock items are allowed.,السطر #{0}: حساب المصاريف {1} غير صالح لفاتورة الشراء {2}. مسموح فقط بحسابات المصاريف الخاصة بالأصناف غير المخزنية.,
Row #{0}: Item {1} has zero rate but 'Allow Zero Valuation Rate' is not enabled.,السطر #{0}: الصنف {1} له معدل صفر ولكن خيار 'السماح بمعدل تقييم صفري' غير مفعل.,
